repr,run,lowercase,stop_words,query,rank,doc_id,score,title,venue,year,url,abstract_snippet
BoW,bow_lc_off_sw_on,False,english,Query 2,2,852,0.3471517180222783,Answer-focused and Position-aware Neural Question Generation,EMNLP,2018,http://aclweb.org/anthology/D18-1427,Neural question generation (NQG) is the task of generating a question from a given passage with deep neural networks. Previous NQG models suffer from a problem that a significant proportion of the generated questions include words in the qu...
BoW,bow_lc_off_sw_on,False,english,Query 2,3,559,0.3242821157509936,A dataset and baselines for sequential open-domain question answering,EMNLP,2018,http://aclweb.org/anthology/D18-1134,We propose a novel methodology to generate domain-specific large-scale question answering (QA) datasets by re-purposing existing annotations for other NLP tasks. We demonstrate an instance of this methodology in generating a large-scale QA ...
BoW,bow_lc_off_sw_on,False,english,Query 3,1,426,0.3820843983081298,Privacy-preserving Neural Representations of Text,EMNLP,2018,http://aclweb.org/anthology/D18-1001,"Text summarization and text simplification are two major ways to simplify the text for poor readers, including children, non-native speakers, and the functionally illiterate. Text summarization is to produce a brief summary of the main idea..."
BoW,bow_lc_off_sw_on,False,english,Query 3,2,853,0.35955554711063287,Diversity-Promoting GAN: A Cross-Entropy Based Generative Adversarial Network for Diversified Text Generation,EMNLP,2018,http://aclweb.org/anthology/D18-1428,"Existing text generation methods tend to produce repeated and ""boring"" expressions. To tackle this problem, we propose a new text generation model, called Diversity-Promoting Generative Adversarial Network (DP-GAN). The proposed model assig..."
BoW,bow_lc_off_sw_on,False,english,Query 3,3,488,0.33996978180681053,Learning Unsupervised Word Translations Without Adversaries,EMNLP,2018,http://aclweb.org/anthology/D18-1063,"Recent research has shown that word embedding spaces learned from text corpora of different languages can be aligned without any parallel data supervision. Inspired by the success in unsupervised cross-lingual word embeddings, in this paper..."
BoW,bow_lc_on_sw_off,True,,Query 1,1,412,0.6090979092037714,Neural Machine Translation with Source Dependency Representation,EMNLP,2017,http://aclweb.org/anthology/D17-1304,"We first observe a potential weakness of continuous vector representations of symbols in neural machine translation. That is, the continuous vector representation, or a word embedding vector, of a symbol encodes multiple dimensions of simil..."
BoW,bow_lc_on_sw_off,True,,Query 1,2,100,0.5913358208661111,HUME: Human UCCA-Based Evaluation of Machine Translation,EMNLP,2016,http://aclweb.org/anthology/D16-1134,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
BoW,bow_lc_on_sw_off,True,,Query 1,3,936,0.5677869274924967,Has Machine Translation Achieved Human Parity? A Case for Document-level Evaluation,EMNLP,2018,http://aclweb.org/anthology/D18-1512,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
BoW,bow_lc_on_sw_off,True,,Query 2,1,881,0.6452192031293627,A Nil-Aware Answer Extraction Framework for Question Answering,EMNLP,2018,http://aclweb.org/anthology/D18-1456,"In this paper, we present a novel approach to machine reading comprehension for the MS-MARCO dataset. Unlike the SQuAD dataset that aims to answer a question with exact text spans in a passage, the MS-MARCO dataset defines the task as answe..."
BoW,bow_lc_on_sw_off,True,,Query 2,2,255,0.6210231899546157,RACE: Large-scale ReAding Comprehension Dataset From Examinations,EMNLP,2017,http://aclweb.org/anthology/D17-1082,"We investigate the task of distractor generation for multiple choice reading comprehension questions from examinations. In contrast to all previous works, we do not aim at preparing words or short phrases distractors, instead, we endeavor t..."
BoW,bow_lc_on_sw_off,True,,Query 2,3,522,0.6130833220037393,Utilizing Character and Word Embeddings for Text Normalization with Sequence-to-Sequence Models,EMNLP,2018,http://aclweb.org/anthology/D18-1097,"Text normalization is an important enabling technology for several NLP tasks. Recently, neural-network-based approaches have outperformed well-established models in this task. However, in languages other than English, there has been little ..."
BoW,bow_lc_on_sw_off,True,,Query 3,1,426,0.6132382338418328,Privacy-preserving Neural Representations of Text,EMNLP,2018,http://aclweb.org/anthology/D18-1001,"Text summarization and text simplification are two major ways to simplify the text for poor readers, including children, non-native speakers, and the functionally illiterate. Text summarization is to produce a brief summary of the main idea..."
BoW,bow_lc_on_sw_off,True,,Query 3,2,488,0.5507662467772694,Learning Unsupervised Word Translations Without Adversaries,EMNLP,2018,http://aclweb.org/anthology/D18-1063,"Recent research has shown that word embedding spaces learned from text corpora of different languages can be aligned without any parallel data supervision. Inspired by the success in unsupervised cross-lingual word embeddings, in this paper..."
BoW,bow_lc_on_sw_off,True,,Query 3,3,152,0.5205554108665139,Learning Robust Representations of Text,EMNLP,2016,http://aclweb.org/anthology/D16-1207,"Recent deep learning models have demonstrated strong capabilities for classifying text and non-text components in natural images. They extract a high-level feature computed globally from a whole image component (patch), where the cluttered ..."
BoW,bow_lc_on_sw_on,True,english,Query 1,1,300,0.5236525269065232,Memory-augmented Neural Machine Translation,EMNLP,2017,http://aclweb.org/anthology/D17-1146,"We explore six challenges for neural machine translation: domain mismatch, amount of training data, rare words, long sentences, word alignment, and beam search. We show both deficiencies and improvements over the quality of phrase-based sta..."
BoW,bow_lc_on_sw_on,True,english,Query 1,2,469,0.5236525269065232,Semi-Autoregressive Neural Machine Translation,EMNLP,2018,http://aclweb.org/anthology/D18-1044,"We explore six challenges for neural machine translation: domain mismatch, amount of training data, rare words, long sentences, word alignment, and beam search. We show both deficiencies and improvements over the quality of phrase-based sta..."
BoW,bow_lc_on_sw_on,True,english,Query 1,3,762,0.5145791488562981,Prediction Improves Simultaneous Neural Machine Translation,EMNLP,2018,http://aclweb.org/anthology/D18-1337,"We investigate the potential of attention-based neural machine translation in simultaneous translation. We introduce a novel decoding algorithm, called simultaneous greedy decoding, that allows an existing neural machine translation model t..."
BoW,bow_lc_on_sw_on,True,english,Query 2,1,258,0.3747010270857358,Two-Stage Synthesis Networks for Transfer Learning in Machine Comprehension,EMNLP,2017,http://aclweb.org/anthology/D17-1087,"We develop a technique for transfer learning in machine comprehension (MC) using a novel two-stage synthesis network (SynNet). Given a high-performing MC model in one domain, our technique aims to answer questions about documents in another..."
BoW,bow_lc_on_sw_on,True,english,Query 2,2,660,0.37121293493384755,A Multi-answer Multi-task Framework for Real-world Machine Reading Comprehension,EMNLP,2018,http://aclweb.org/anthology/D18-1235,"Machine Reading Comprehension (MRC) has become enormously popular recently and has attracted a lot of attention. However, existing reading comprehension datasets are mostly in English. To add diversity in reading comprehension datasets, in ..."
BoW,bow_lc_on_sw_on,True,english,Query 2,3,852,0.3527244133780797,Answer-focused and Position-aware Neural Question Generation,EMNLP,2018,http://aclweb.org/anthology/D18-1427,Neural question generation (NQG) is the task of generating a question from a given passage with deep neural networks. Previous NQG models suffer from a problem that a significant proportion of the generated questions include words in the qu...
BoW,bow_lc_on_sw_on,True,english,Query 3,1,426,0.47379252522615356,Privacy-preserving Neural Representations of Text,EMNLP,2018,http://aclweb.org/anthology/D18-1001,"Text summarization and text simplification are two major ways to simplify the text for poor readers, including children, non-native speakers, and the functionally illiterate. Text summarization is to produce a brief summary of the main idea..."
BoW,bow_lc_on_sw_on,True,english,Query 3,2,152,0.36876442508001295,Learning Robust Representations of Text,EMNLP,2016,http://aclweb.org/anthology/D16-1207,"Recent deep learning models have demonstrated strong capabilities for classifying text and non-text components in natural images. They extract a high-level feature computed globally from a whole image component (patch), where the cluttered ..."
BoW,bow_lc_on_sw_on,True,english,Query 3,3,488,0.3638527494714232,Learning Unsupervised Word Translations Without Adversaries,EMNLP,2018,http://aclweb.org/anthology/D18-1063,"Recent research has shown that word embedding spaces learned from text corpora of different languages can be aligned without any parallel data supervision. Inspired by the success in unsupervised cross-lingual word embeddings, in this paper..."
TF-IDF,tfidf_lc_off_sw_off,False,,Query 1,1,100,0.2907773189529845,HUME: Human UCCA-Based Evaluation of Machine Translation,EMNLP,2016,http://aclweb.org/anthology/D16-1134,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
TF-IDF,tfidf_lc_off_sw_off,False,,Query 1,2,762,0.29058009293344916,Prediction Improves Simultaneous Neural Machine Translation,EMNLP,2018,http://aclweb.org/anthology/D18-1337,"We investigate the potential of attention-based neural machine translation in simultaneous translation. We introduce a novel decoding algorithm, called simultaneous greedy decoding, that allows an existing neural machine translation model t..."
TF-IDF,tfidf_lc_off_sw_off,False,,Query 1,3,936,0.2803094722629892,Has Machine Translation Achieved Human Parity? A Case for Document-level Evaluation,EMNLP,2018,http://aclweb.org/anthology/D18-1512,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
TF-IDF,tfidf_lc_off_sw_off,False,,Query 2,1,660,0.29790442187541233,A Multi-answer Multi-task Framework for Real-world Machine Reading Comprehension,EMNLP,2018,http://aclweb.org/anthology/D18-1235,"Machine Reading Comprehension (MRC) has become enormously popular recently and has attracted a lot of attention. However, existing reading comprehension datasets are mostly in English. To add diversity in reading comprehension datasets, in ..."
TF-IDF,tfidf_lc_off_sw_off,False,,Query 2,2,255,0.2635249637133646,RACE: Large-scale ReAding Comprehension Dataset From Examinations,EMNLP,2017,http://aclweb.org/anthology/D17-1082,"We investigate the task of distractor generation for multiple choice reading comprehension questions from examinations. In contrast to all previous works, we do not aim at preparing words or short phrases distractors, instead, we endeavor t..."
TF-IDF,tfidf_lc_off_sw_off,False,,Query 2,3,258,0.2565078480679707,Two-Stage Synthesis Networks for Transfer Learning in Machine Comprehension,EMNLP,2017,http://aclweb.org/anthology/D17-1087,"We develop a technique for transfer learning in machine comprehension (MC) using a novel two-stage synthesis network (SynNet). Given a high-performing MC model in one domain, our technique aims to answer questions about documents in another..."
TF-IDF,tfidf_lc_off_sw_off,False,,Query 3,1,426,0.2525961505957454,Privacy-preserving Neural Representations of Text,EMNLP,2018,http://aclweb.org/anthology/D18-1001,"Text summarization and text simplification are two major ways to simplify the text for poor readers, including children, non-native speakers, and the functionally illiterate. Text summarization is to produce a brief summary of the main idea..."
TF-IDF,tfidf_lc_off_sw_off,False,,Query 3,2,780,0.23063617401927092,Integrating Transformer and Paraphrase Rules for Sentence Simplification,EMNLP,2018,http://aclweb.org/anthology/D18-1355,Sentence simplification aims to reduce the complexity of a sentence while retaining its original meaning. Current models for sentence simplification adopted ideas from ma- chine translation studies and implicitly learned simplification mapp...
TF-IDF,tfidf_lc_off_sw_off,False,,Query 3,3,488,0.1961440037871336,Learning Unsupervised Word Translations Without Adversaries,EMNLP,2018,http://aclweb.org/anthology/D18-1063,"Recent research has shown that word embedding spaces learned from text corpora of different languages can be aligned without any parallel data supervision. Inspired by the success in unsupervised cross-lingual word embeddings, in this paper..."
TF-IDF,tfidf_lc_off_sw_on,False,english,Query 1,1,762,0.2972915393327178,Prediction Improves Simultaneous Neural Machine Translation,EMNLP,2018,http://aclweb.org/anthology/D18-1337,"We investigate the potential of attention-based neural machine translation in simultaneous translation. We introduce a novel decoding algorithm, called simultaneous greedy decoding, that allows an existing neural machine translation model t..."
TF-IDF,tfidf_lc_off_sw_on,False,english,Query 1,2,100,0.2839022878178559,HUME: Human UCCA-Based Evaluation of Machine Translation,EMNLP,2016,http://aclweb.org/anthology/D16-1134,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
TF-IDF,tfidf_lc_off_sw_on,False,english,Query 1,3,936,0.2748576879387061,Has Machine Translation Achieved Human Parity? A Case for Document-level Evaluation,EMNLP,2018,http://aclweb.org/anthology/D18-1512,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
TF-IDF,tfidf_lc_off_sw_on,False,english,Query 2,1,660,0.2906084860749794,A Multi-answer Multi-task Framework for Real-world Machine Reading Comprehension,EMNLP,2018,http://aclweb.org/anthology/D18-1235,"Machine Reading Comprehension (MRC) has become enormously popular recently and has attracted a lot of attention. However, existing reading comprehension datasets are mostly in English. To add diversity in reading comprehension datasets, in ..."
TF-IDF,tfidf_lc_off_sw_on,False,english,Query 2,2,258,0.23774151349540107,Two-Stage Synthesis Networks for Transfer Learning in Machine Comprehension,EMNLP,2017,http://aclweb.org/anthology/D17-1087,"We develop a technique for transfer learning in machine comprehension (MC) using a novel two-stage synthesis network (SynNet). Given a high-performing MC model in one domain, our technique aims to answer questions about documents in another..."
TF-IDF,tfidf_lc_off_sw_on,False,english,Query 2,3,255,0.22387519719366147,RACE: Large-scale ReAding Comprehension Dataset From Examinations,EMNLP,2017,http://aclweb.org/anthology/D17-1082,"We investigate the task of distractor generation for multiple choice reading comprehension questions from examinations. In contrast to all previous works, we do not aim at preparing words or short phrases distractors, instead, we endeavor t..."
TF-IDF,tfidf_lc_off_sw_on,False,english,Query 3,1,426,0.24368725668825086,Privacy-preserving Neural Representations of Text,EMNLP,2018,http://aclweb.org/anthology/D18-1001,"Text summarization and text simplification are two major ways to simplify the text for poor readers, including children, non-native speakers, and the functionally illiterate. Text summarization is to produce a brief summary of the main idea..."
TF-IDF,tfidf_lc_off_sw_on,False,english,Query 3,2,780,0.22114948453614292,Integrating Transformer and Paraphrase Rules for Sentence Simplification,EMNLP,2018,http://aclweb.org/anthology/D18-1355,Sentence simplification aims to reduce the complexity of a sentence while retaining its original meaning. Current models for sentence simplification adopted ideas from ma- chine translation studies and implicitly learned simplification mapp...
TF-IDF,tfidf_lc_off_sw_on,False,english,Query 3,3,488,0.17832160907948208,Learning Unsupervised Word Translations Without Adversaries,EMNLP,2018,http://aclweb.org/anthology/D18-1063,"Recent research has shown that word embedding spaces learned from text corpora of different languages can be aligned without any parallel data supervision. Inspired by the success in unsupervised cross-lingual word embeddings, in this paper..."
TF-IDF,tfidf_lc_on_sw_off,True,,Query 1,1,300,0.322673215362745,Memory-augmented Neural Machine Translation,EMNLP,2017,http://aclweb.org/anthology/D17-1146,"We explore six challenges for neural machine translation: domain mismatch, amount of training data, rare words, long sentences, word alignment, and beam search. We show both deficiencies and improvements over the quality of phrase-based sta..."
TF-IDF,tfidf_lc_on_sw_off,True,,Query 1,2,100,0.3213772766096021,HUME: Human UCCA-Based Evaluation of Machine Translation,EMNLP,2016,http://aclweb.org/anthology/D16-1134,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
TF-IDF,tfidf_lc_on_sw_off,True,,Query 1,3,469,0.3185318915932452,Semi-Autoregressive Neural Machine Translation,EMNLP,2018,http://aclweb.org/anthology/D18-1044,"We explore six challenges for neural machine translation: domain mismatch, amount of training data, rare words, long sentences, word alignment, and beam search. We show both deficiencies and improvements over the quality of phrase-based sta..."
TF-IDF,tfidf_lc_on_sw_off,True,,Query 2,1,660,0.3713779342595086,A Multi-answer Multi-task Framework for Real-world Machine Reading Comprehension,EMNLP,2018,http://aclweb.org/anthology/D18-1235,"Machine Reading Comprehension (MRC) has become enormously popular recently and has attracted a lot of attention. However, existing reading comprehension datasets are mostly in English. To add diversity in reading comprehension datasets, in ..."
TF-IDF,tfidf_lc_on_sw_off,True,,Query 2,2,255,0.31461679580601487,RACE: Large-scale ReAding Comprehension Dataset From Examinations,EMNLP,2017,http://aclweb.org/anthology/D17-1082,"We investigate the task of distractor generation for multiple choice reading comprehension questions from examinations. In contrast to all previous works, we do not aim at preparing words or short phrases distractors, instead, we endeavor t..."
TF-IDF,tfidf_lc_on_sw_off,True,,Query 2,3,194,0.2975039361103109,"SQuAD: 100,000+ Questions for Machine Comprehension of Text",EMNLP,2016,http://aclweb.org/anthology/D16-1264,"We present the EpiReader, a novel model for machine comprehension of text. Machine comprehension of unstructured, real-world text is a major research goal for natural language processing. Current tests of machine comprehension pose question..."
TF-IDF,tfidf_lc_on_sw_off,True,,Query 3,1,426,0.31895527371803856,Privacy-preserving Neural Representations of Text,EMNLP,2018,http://aclweb.org/anthology/D18-1001,"Text summarization and text simplification are two major ways to simplify the text for poor readers, including children, non-native speakers, and the functionally illiterate. Text summarization is to produce a brief summary of the main idea..."
TF-IDF,tfidf_lc_on_sw_off,True,,Query 3,2,780,0.2951421251739889,Integrating Transformer and Paraphrase Rules for Sentence Simplification,EMNLP,2018,http://aclweb.org/anthology/D18-1355,Sentence simplification aims to reduce the complexity of a sentence while retaining its original meaning. Current models for sentence simplification adopted ideas from ma- chine translation studies and implicitly learned simplification mapp...
TF-IDF,tfidf_lc_on_sw_off,True,,Query 3,3,239,0.2335934703661715,Sentence Simplification with Deep Reinforcement Learning,EMNLP,2017,http://aclweb.org/anthology/D17-1062,Sentence simplification aims to make sentences easier to read and understand. Most recent approaches draw on insights from machine translation to learn simplification rewrites from monolingual corpora of complex and simple sentences. We add...
TF-IDF,tfidf_lc_on_sw_on,True,english,Query 1,1,300,0.34434948472037963,Memory-augmented Neural Machine Translation,EMNLP,2017,http://aclweb.org/anthology/D17-1146,"We explore six challenges for neural machine translation: domain mismatch, amount of training data, rare words, long sentences, word alignment, and beam search. We show both deficiencies and improvements over the quality of phrase-based sta..."
TF-IDF,tfidf_lc_on_sw_on,True,english,Query 1,2,469,0.33926956537190667,Semi-Autoregressive Neural Machine Translation,EMNLP,2018,http://aclweb.org/anthology/D18-1044,"We explore six challenges for neural machine translation: domain mismatch, amount of training data, rare words, long sentences, word alignment, and beam search. We show both deficiencies and improvements over the quality of phrase-based sta..."
TF-IDF,tfidf_lc_on_sw_on,True,english,Query 1,3,100,0.31493421482214257,HUME: Human UCCA-Based Evaluation of Machine Translation,EMNLP,2016,http://aclweb.org/anthology/D16-1134,"Recent research suggests that neural machine translation achieves parity with professional human translation on the WMT Chinese--English news translation task. We empirically test this claim with alternative evaluation protocols, contrastin..."
TF-IDF,tfidf_lc_on_sw_on,True,english,Query 2,1,660,0.3661475279488657,A Multi-answer Multi-task Framework for Real-world Machine Reading Comprehension,EMNLP,2018,http://aclweb.org/anthology/D18-1235,"Machine Reading Comprehension (MRC) has become enormously popular recently and has attracted a lot of attention. However, existing reading comprehension datasets are mostly in English. To add diversity in reading comprehension datasets, in ..."
TF-IDF,tfidf_lc_on_sw_on,True,english,Query 2,2,255,0.27699150159494723,RACE: Large-scale ReAding Comprehension Dataset From Examinations,EMNLP,2017,http://aclweb.org/anthology/D17-1082,"We investigate the task of distractor generation for multiple choice reading comprehension questions from examinations. In contrast to all previous works, we do not aim at preparing words or short phrases distractors, instead, we endeavor t..."
TF-IDF,tfidf_lc_on_sw_on,True,english,Query 2,3,658,0.2639197819849893,Interpretation of Natural Language Rules in Conversational Machine Reading,EMNLP,2018,http://aclweb.org/anthology/D18-1233,"Most work in machine reading focuses on question answering problems where the answer is directly expressed in the text to read. However, many real-world question answering problems require the reading of text not because it contains the lit..."
TF-IDF,tfidf_lc_on_sw_on,True,english,Query 3,1,426,0.3025056669447462,Privacy-preserving Neural Representations of Text,EMNLP,2018,http://aclweb.org/anthology/D18-1001,"Text summarization and text simplification are two major ways to simplify the text for poor readers, including children, non-native speakers, and the functionally illiterate. Text summarization is to produce a brief summary of the main idea..."
TF-IDF,tfidf_lc_on_sw_on,True,english,Query 3,2,780,0.28236511632470324,Integrating Transformer and Paraphrase Rules for Sentence Simplification,EMNLP,2018,http://aclweb.org/anthology/D18-1355,Sentence simplification aims to reduce the complexity of a sentence while retaining its original meaning. Current models for sentence simplification adopted ideas from ma- chine translation studies and implicitly learned simplification mapp...
TF-IDF,tfidf_lc_on_sw_on,True,english,Query 3,3,239,0.22469677620045392,Sentence Simplification with Deep Reinforcement Learning,EMNLP,2017,http://aclweb.org/anthology/D17-1062,Sentence simplification aims to make sentences easier to read and understand. Most recent approaches draw on insights from machine translation to learn simplification rewrites from monolingual corpora of complex and simple sentences. We add...
